WigleWifi-1.4,appRelease=pi-gadget,model=RaspberryPi,release=1.0,device=Pi,display=,board=,brand=RPi,star=Sol,body=3,subBody=0
MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
78:8A:20:5A:FA:73,WWU-HWauth,[OPEN],2026-03-02 15:47:46,1,2412,-79,46.04854573,-118.39170125,0,10,WIFI
02:E2:C6:D2:8C:1A,WWU-HWAuth-PSK,[WPA2],2026-03-02 15:47:46,1,2412,-84,46.04854573,-118.39170125,0,10,WIFI
7E:8A:20:08:82:97,WWU-Guest,[OPEN],2026-03-02 15:47:46,1,2412,-73,46.04854573,-118.39170125,0,10,WIFI
7E:8A:20:08:78:C3,WWU-Guest,[OPEN],2026-03-02 15:47:46,1,2412,-72,46.04854573,-118.39170125,0,10,WIFI
B0:FC:88:6E:A5:BD,SpectrumSetup-B7,[WPA2],2026-03-02 15:47:46,1,2412,-78,46.04854573,-118.39170125,0,10,WIFI
84:1E:A3:CD:A5:4E,Merlots Dog House,[WPA2],2026-03-02 15:47:46,1,2412,-77,46.04854573,-118.39170125,0,10,WIFI
2C:30:33:EA:47:6F,NETGEAR92,[WPA2],2026-03-02 15:47:46,1,2412,-85,46.04854573,-118.39170125,0,10,WIFI
7E:8A:20:08:8C:FB,WWU-Guest,[OPEN],2026-03-02 15:47:46,1,2412,-68,46.04854573,-118.39170125,0,10,WIFI
78:8A:20:08:82:8F,WWU-HWAuth,[OPEN],2026-03-02 15:47:46,1,2412,-82,46.04854573,-118.39170125,0,10,WIFI
BC:96:E5:52:15:75,The Internet,[WPA2],2026-03-02 15:47:46,1,2412,-79,46.04854573,-118.39170125,0,10,WIFI
86:8A:20:5A:FA:73,WWU-HWAuth-PSK,[WPA2],2026-03-02 15:47:46,1,2412,-77,46.04854573,-118.39170125,0,10,WIFI
78:8A:20:08:5C:9B,WWU-HWAuth,[OPEN],2026-03-02 15:47:46,1,2412,-75,46.04854573,-118.39170125,0,10,WIFI
86:8A:20:08:8C:FB,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:47:46,1,2412,-68,46.04854573,-118.39170125,0,10,WIFI
36:21:03:8D:31:CA,,[WPA2],2026-03-02 15:47:46,1,2412,-85,46.04854573,-118.39170125,0,10,WIFI
78:8A:20:08:78:C3,WWU-HWAuth,[OPEN],2026-03-02 15:47:46,1,2412,-74,46.04854573,-118.39170125,0,10,WIFI
86:8A:20:08:78:C3,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:47:46,1,2412,-73,46.04854573,-118.39170125,0,10,WIFI
4C:19:5D:26:13:A8,KushyKhloe,[WPA2],2026-03-02 15:47:46,1,2412,-71,46.04854573,-118.39170125,0,10,WIFI
78:8A:20:08:82:97,WWU-HWAuth,[OPEN],2026-03-02 15:47:46,1,2412,-74,46.04854573,-118.39170125,0,10,WIFI
82:8A:20:08:78:C3,WWU,[WPA2],2026-03-02 15:47:46,1,2412,-71,46.04854573,-118.39170125,0,10,WIFI
82:8A:20:08:8C:FB,WWU,[WPA2],2026-03-02 15:47:46,1,2412,-70,46.04854573,-118.39170125,0,10,WIFI
86:8A:20:57:CC:7A,WWU-HWAuth-PSK,[WPA2],2026-03-02 15:47:46,1,2412,-80,46.04854573,-118.39170125,0,10,WIFI
F4:05:95:A8:71:0D,Noa’s Ark,[WPA2],2026-03-02 15:47:46,1,2412,-78,46.04854573,-118.39170125,0,10,WIFI
5C:FA:25:E8:AB:B6,its for my fish,[WPA2],2026-03-02 15:47:46,1,2412,-69,46.04854573,-118.39170125,0,10,WIFI
82:8A:20:08:82:8F,WWU,[WPA2],2026-03-02 15:47:46,1,2412,-79,46.04854573,-118.39170125,0,10,WIFI
82:8A:20:08:7A:77,,[OPEN],2026-03-02 15:47:46,1,2412,-1,46.04854573,-118.39170125,0,10,WIFI
86:8A:20:08:5C:9B,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:47:46,1,2412,-76,46.04854573,-118.39170125,0,10,WIFI
82:8A:20:08:82:97,WWU,[WPA2],2026-03-02 15:47:46,1,2412,-70,46.04854573,-118.39170125,0,10,WIFI
92:90:2D:B4:20:31,Apartment 3,[WPA2],2026-03-02 15:47:46,6,2437,-66,46.04854573,-118.39170125,0,10,WIFI
34:98:B5:F5:B5:67,NETGEAR44,[WPA2],2026-03-02 15:47:46,7,2442,-79,46.04854573,-118.39170125,0,10,WIFI
26:39:F9:7C:C1:59,Goreliy Dranik,[WPA2],2026-03-02 15:47:46,6,2437,-22,46.04854573,-118.39170125,0,10,WIFI
82:8A:20:08:85:97,WWU,[WPA2],2026-03-02 15:47:46,6,2437,-80,46.04854573,-118.39170125,0,10,WIFI
8C:90:2D:B4:20:31,Remember Alaska,[WPA2],2026-03-02 15:47:46,6,2437,-66,46.04854573,-118.39170125,0,10,WIFI
34:98:B5:AA:69:3F,,[OPEN],2026-03-02 15:47:46,1,2412,-80,46.04854573,-118.39170125,0,10,WIFI
BE:A2:F4:E4:39:C3,,[WPA2],2026-03-02 15:47:46,7,2442,-79,46.04854573,-118.39170125,0,10,WIFI
9C:A2:F4:E4:39:C3,My Lighthouse,[WPA2],2026-03-02 15:47:46,7,2442,-83,46.04854573,-118.39170125,0,10,WIFI
72:A7:41:94:01:89,Nasral Navas,[WPA3],2026-03-02 15:47:46,6,2437,-75,46.04854573,-118.39170125,0,10,WIFI
5C:FA:25:EC:4D:E0,SpectrumSetup-DA,[WPA2],2026-03-02 15:47:46,6,2437,-80,46.04854573,-118.39170125,0,10,WIFI
78:8A:20:08:85:97,WWU-HWAuth,[OPEN],2026-03-02 15:47:46,6,2437,-77,46.04854573,-118.39170125,0,10,WIFI
2C:67:BE:86:B8:88,SpectrumSetup-B884,[WPA2],2026-03-02 15:47:46,6,2437,-79,46.04854573,-118.39170125,0,10,WIFI
86:2A:A8:54:6F:36,WWU-Guest,[OPEN],2026-03-02 15:47:46,6,2437,-80,46.04854573,-118.39170125,0,10,WIFI
F8:7B:8C:15:F4:31,FBI Surveillance,[WPA2],2026-03-02 15:47:46,9,2452,-68,46.04854573,-118.39170125,0,10,WIFI
78:8A:20:08:5C:9B,WWU-HWAuth,[OPEN],2026-03-02 15:47:55,1,2412,-76,46.04841913,-118.39161821,0,10,WIFI
86:8A:20:08:8C:FB,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:47:55,1,2412,-71,46.04841913,-118.39161821,0,10,WIFI
86:8A:20:08:78:C3,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:47:55,1,2412,-75,46.04841913,-118.39161821,0,10,WIFI
86:8A:20:08:5C:9B,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:47:55,1,2412,-76,46.04841913,-118.39161821,0,10,WIFI
82:8A:20:08:8C:FB,WWU,[WPA2],2026-03-02 15:47:55,1,2412,-68,46.04841913,-118.39161821,0,10,WIFI
78:8A:20:08:82:97,WWU-HWAuth,[OPEN],2026-03-02 15:47:55,1,2412,-73,46.04841913,-118.39161821,0,10,WIFI
5C:FA:25:E8:AB:B6,its for my fish,[WPA2],2026-03-02 15:47:55,1,2412,-71,46.04841913,-118.39161821,0,10,WIFI
7E:8A:20:08:8C:FB,WWU-Guest,[OPEN],2026-03-02 15:47:55,1,2412,-71,46.04841913,-118.39161821,0,10,WIFI
7E:8A:20:08:78:C3,WWU-Guest,[OPEN],2026-03-02 15:47:55,1,2412,-75,46.04841913,-118.39161821,0,10,WIFI
84:1E:A3:CD:A5:4E,Merlots Dog House,[WPA2],2026-03-02 15:47:55,1,2412,-78,46.04841913,-118.39161821,0,10,WIFI
F4:05:95:A8:71:0D,Noa’s Ark,[WPA2],2026-03-02 15:47:55,1,2412,-77,46.04841913,-118.39161821,0,10,WIFI
78:8A:20:08:82:8F,WWU-HWAuth,[OPEN],2026-03-02 15:47:55,1,2412,-82,46.04841913,-118.39161821,0,10,WIFI
BC:96:E5:52:15:75,The Internet,[WPA2],2026-03-02 15:47:55,1,2412,-79,46.04841913,-118.39161821,0,10,WIFI
58:9B:4A:85:C5:A6,Olson1,[WPA2],2026-03-02 15:47:55,1,2412,-70,46.04841913,-118.39161821,0,10,WIFI
7E:8A:20:08:82:8F,WWU-Guest,[OPEN],2026-03-02 15:47:55,1,2412,-81,46.04841913,-118.39161821,0,10,WIFI
82:8A:20:08:82:8F,WWU,[WPA2],2026-03-02 15:47:55,1,2412,-82,46.04841913,-118.39161821,0,10,WIFI
78:8A:20:08:8C:FB,WWU-HWAuth,[OPEN],2026-03-02 15:47:55,1,2412,-71,46.04841913,-118.39161821,0,10,WIFI
86:8A:20:08:82:8F,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:47:55,1,2412,-81,46.04841913,-118.39161821,0,10,WIFI
82:8A:20:08:78:C3,WWU,[WPA2],2026-03-02 15:47:55,1,2412,-72,46.04841913,-118.39161821,0,10,WIFI
78:8A:20:08:78:C3,WWU-HWAuth,[OPEN],2026-03-02 15:47:55,1,2412,-76,46.04841913,-118.39161821,0,10,WIFI
70:A7:41:D4:01:89,,[WPA2],2026-03-02 15:47:55,6,2437,-73,46.04841913,-118.39161821,0,10,WIFI
86:2A:A8:54:6F:36,WWU-Guest,[OPEN],2026-03-02 15:47:55,6,2437,-77,46.04841913,-118.39161821,0,10,WIFI
9C:A2:F4:E4:39:C3,My Lighthouse,[WPA2],2026-03-02 15:47:55,7,2442,-81,46.04841913,-118.39161821,0,10,WIFI
72:A7:41:94:01:89,Nasral Navas,[WPA3],2026-03-02 15:47:55,6,2437,-73,46.04841913,-118.39161821,0,10,WIFI
78:8A:20:08:85:97,WWU-HWAuth,[OPEN],2026-03-02 15:47:55,6,2437,-79,46.04841913,-118.39161821,0,10,WIFI
2C:67:BE:86:B8:88,SpectrumSetup-B884,[WPA2],2026-03-02 15:47:55,6,2437,-79,46.04841913,-118.39161821,0,10,WIFI
82:8A:20:08:85:97,WWU,[WPA2],2026-03-02 15:47:55,6,2437,-79,46.04841913,-118.39161821,0,10,WIFI
8C:90:2D:B4:20:31,Remember Alaska,[WPA2],2026-03-02 15:47:55,6,2437,-67,46.04841913,-118.39161821,0,10,WIFI
92:90:2D:B4:20:31,Apartment 3,[WPA2],2026-03-02 15:47:55,6,2437,-67,46.04841913,-118.39161821,0,10,WIFI
7E:8A:20:08:82:97,WWU-Guest,[OPEN],2026-03-02 15:47:55,1,2412,-74,46.04841913,-118.39161821,0,10,WIFI
34:98:B5:AA:69:3F,NETGEAR30,[WPA2],2026-03-02 15:48:05,8,2447,-80,46.04839383,-118.39158819,0,10,WIFI
9C:3D:CF:90:5D:C1,NETGEAR78,[WPA2],2026-03-02 15:48:05,8,2447,-82,46.04839383,-118.39158819,0,10,WIFI
34:98:B5:F5:B5:67,NETGEAR44,[WPA2],2026-03-02 15:48:05,7,2442,-78,46.04839383,-118.39158819,0,10,WIFI
